 Rig #  Mfg                    Model                   Version         Status      Macro
  2024  Kenwood                TS-680S                 20221021.0      Stable      RIG_MODEL_TS680S
  2025  Kenwood                TS-140S                 20221021.0      Stable      RIG_MODEL_TS140S
  2026  Kenwood                TM-D700                 20200701.0      Stable      RIG_MODEL_TMD700
  2027  Kenwood                TM-V7                   20200701.0      Stable      RIG_MODEL_TMV7
  2028  Kenwood                TS-480                  20221021.2      Stable      RIG_MODEL_TS480
  2029  Elecraft               K3                      20221021.23     Stable      RIG_MODEL_K3
  2030  Kenwood                TRC-80                  20221021.0      Stable      RIG_MODEL_TRC80
  2031  Kenwood                TS-590S                 20221021.2      Stable      RIG_MODEL_TS590S
  2032  SigFox                 Transfox                20111223.0      Stable      RIG_MODEL_TRANSFOX
  2033  Kenwood                TH-D72A                 20200701.0      Stable      RIG_MODEL_THD72A
  2034  Kenwood                TM-D710(G)              20221021.5      Stable      (null)
  2035  Kenwood                TM-V71(A)               20221021.1      Stable      RIG_MODEL_TMV71
  2036  FlexRadio              6xxx                    20220306.0      Stable      RIG_MODEL_F6K
  2037  Kenwood                TS-590SG                20221021.1      Stable      RIG_MODEL_TS590SG
  2038  Elecraft               XG3                     20200613.0      Stable      RIG_MODEL_XG3
  2039  Kenwood                TS-990S                 20221021.1      Stable      RIG_MODEL_TS990S
  2040  OpenHPSDR              PiHPSDR                 20221021.1      Stable      RIG_MODEL_HPSDR
  2041  Kenwood                TS-890S                 20221021.3      Stable      RIG_MODEL_TS890S
  2042  Kenwood                TH-D74                  20221021.3      Stable      RIG_MODEL_THD74
  2043  Elecraft               K3S                     20221021.18     Stable      RIG_MODEL_K3S
  2044  Elecraft               KX2                     20221021.16     Stable      RIG_MODEL_KX2
  2045  Elecraft               KX3                     20221021.17     Stable      RIG_MODEL_KX3
  2046  Hilberling             PT-8000A                20221021.0      Stable      RIG_MODEL_PT8000A
  2047  Elecraft               K4                      20221021.24     Stable      RIG_MODEL_K4
  2048  FlexRadio/ANAN         PowerSDR/Thetis         20220715.0      Stable      RIG_MODEL_POWERSDR
  2049  Malachite              DSP                     20221021.2      Stable      RIG_MODEL_MALACHITE
  2050  Lab599                 TX-500                  20221021.0      Stable      RIG_MODEL_LAB599_TX500
  2051  SDRPlay                SDRUno                  20221021.2      Stable      RIG_MODEL_SDRUNO
  3002  Icom                   IC-1275                 20220909.0      Stable      RIG_MODEL_IC1275
  3003  Icom                   IC-271                  20220909.0      Alpha       RIG_MODEL_IC271
  3004  Icom                   IC-275                  20220909.0      Stable      RIG_MODEL_IC275
  3005  Icom                   IC-375                  20220909.0      Stable      RIG_MODEL_IC375
  3006  Icom                   IC-471                  20220909.0      Alpha       RIG_MODEL_IC471
  3007  Icom                   IC-475                  20220909.0      Stable      RIG_MODEL_IC475
  3008  Icom                   IC-575                  20220909.0      Stable      RIG_MODEL_IC575
  3009  Icom                   IC-706                  20220909.1      Stable      RIG_MODEL_IC706
  3010  Icom                   IC-706MkII              20220909.1      Stable      RIG_MODEL_IC706MKII
  3011  Icom                   IC-706MkIIG             20220909.2      Stable      RIG_MODEL_IC706MKIIG
  3012  Icom                   IC-707                  20220909.0      Alpha       RIG_MODEL_IC707
  3013  Icom                   IC-718                  20220909.1      Stable      RIG_MODEL_IC718
  3014  Icom                   IC-725                  20220909.0      Stable      RIG_MODEL_IC725
  3015  Icom                   IC-726                  20220909.0      Stable      RIG_MODEL_IC726
  3016  Icom                   IC-728                  20220909.0      Alpha       RIG_MODEL_IC728
  3017  Icom                   IC-729                  20220909.0      Stable      RIG_MODEL_IC729
  3019  Icom                   IC-735                  20220909.0      Stable      RIG_MODEL_IC735
  3020  Icom                   IC-736                  20220909.0      Alpha       RIG_MODEL_IC736
  3021  Icom                   IC-737                  20220909.0      Alpha       RIG_MODEL_IC737
